               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067662,            0.017933,            0.039607,          0.00013525,          0.00043573,          6.8174e-05,          1.3635e-05,            0.080854,            0.017051,             0.07698,           0.0033267,           0.0033267,             0.07006
                   1,            0.060237,            0.012328,            0.022356,                   0,                   0,                   0,                   0,            0.079449,             0.01114,            0.084812,           0.0066541,           0.0066541,            0.040054
                   2,            0.060872,           0.0082553,            0.017242,                   0,                   0,                   0,                   0,            0.075925,            0.012003,            0.076292,           0.0099579,           0.0099579,            0.010024
                   3,            0.054553,           0.0078993,            0.015162,           0.0072366,             0.16027,           0.0045874,          0.00068982,            0.066961,            0.012527,            0.077881,           0.0099203,           0.0099203,           0.0099203
                   4,            0.047758,           0.0093583,             0.01292,             0.68897,            0.067376,            0.013438,           0.0032536,            0.068623,            0.011751,            0.083232,           0.0099203,           0.0099203,           0.0099203
                   5,            0.045723,           0.0079477,            0.011462,             0.50041,            0.049103,            0.040295,           0.0056045,            0.058518,            0.012508,            0.084826,           0.0098586,           0.0098586,           0.0098586
                   6,            0.038513,           0.0085707,            0.010262,             0.17971,             0.25673,            0.091282,            0.033842,            0.046378,            0.013677,            0.080348,           0.0097798,           0.0097798,           0.0097798
                   7,            0.034228,           0.0081272,           0.0094172,            0.059688,             0.16294,            0.083548,            0.023469,             0.04521,            0.013595,            0.084809,            0.009684,            0.009684,            0.009684
                   8,            0.031649,           0.0078541,           0.0087665,             0.15075,             0.18198,               0.128,            0.038767,            0.048001,            0.012354,            0.084444,           0.0095717,           0.0095717,           0.0095717
                   9,            0.030963,           0.0077372,           0.0080612,             0.43905,             0.12475,             0.10074,            0.027818,            0.039855,            0.012642,            0.081788,           0.0094434,           0.0094434,           0.0094434
                  10,            0.030372,           0.0074893,           0.0086396,            0.061667,             0.33376,             0.08584,            0.034879,            0.038955,            0.014258,            0.077657,           0.0092995,           0.0092995,           0.0092995
